"Date","Time","Origin","Destination","Price","Minutes","Kilometers"
"2022-05-23",11:00,"Kensington Market","Dufferin and St Clair W",15.49,16.81,6.0
"2022-05-23",11:10,"Dufferin and St Clair W","Glencairn and Caledonia",12.78,9.00,4.3
"2022-05-23",11:16,"Glencairn and Caledonia","Danforth Village",36.66,31.00,25.0
"2022-05-23",11:26,"Royal York Hotel","Royal Ontario Museum",15.07,9.00,2.8
"2022-05-23",15:05,"Michael Garron Hospital","Scarborough Town Centre",27.35,17.00,17.3
"2022-05-23",15:05,"Spadina and Bloor","Distillery District",22.54,19.00,6.9
"2022-05-23",15:28,"Cabbagetown","The Annex",16.57,16.00,4.4
"2022-05-23",15:32,"Liberty Village","Yonge and Bloor",20.33,22.00,6.5
"2022-05-23",16:13,"Liberty Village","Art Gallery of Ontario",16.33,16.00,4.2
"2022-05-23",16:15,"Liberty Village","Yonge & Eglinton",25.21,29.00,11.6
"2022-05-23",16:18,"Ontario Science Centre","University of Toronto",20.83,22.00,10.0
"2022-05-23",16:24,"Eglinton West Station","University of Toronto",16.97,20.00,7.4
"2022-05-23",16:25,"Eglinton West Station","TVO",12.89,13.00,3.8
"2022-05-23",16:26,"Yorkminster Park Baptist Church","TVO",10.22,4.00,1.7
"2022-05-23",16:28,"Yorkminster Park Baptist Church","Bathurst Station",14.42,12.00,4.5
"2022-05-23",16:39,"Union Station","Rogers Centre",9.41,9.00,2.1
"2022-05-23",17:09,"Jane and Finch","IKEA Etobicoke",32.63,21.00,21.6
"2022-05-23",17:11,"Union Station","Leslieville",18.61,15.00,5.5
"2022-05-24",8:38,"Royal York Hotel","Royal Ontario Museum",31.08,9.00,2.8
"2022-05-24",8:40,"Spadina and Bloor","Distillery District",23.02,19.00,6.9
"2022-05-24",8:44,"Eglinton West Station","University of Toronto",22.43,20.00,7.4
"2022-05-26",9:18,"Royal York Hotel","Royal Ontario Museum",13.27,9.00,2.8
"2022-05-27",9:18,"Liberty Village","Yonge & Eglinton",22.36,29.00,11.6
"2022-05-27",9:19,"Ontario Science Centre","University of Toronto",21.75,22.00,10.0
"2022-05-27",9:28,"Union Station","Rogers Centre",8.92,9.00,2.1
